Year,Institute_ID,Name,City,State,Score,Rank,TLR,RPC,GO,OI,Perception
2021,IR-E-C-46239,G.L.Bajaj Institute of Technology and Management,Greater Noida,Uttar Pradesh,32.55,194.0,57.13,3.72,47.78,47.32,0.0
2021,IR-E-U-0774,DIT University,Dehradun,Uttarakhand,32.53,195.0,50.14,7.09,48.53,55.03,1.46
2021,IR-E-C-1438,The National Institute of Engineering,Mysore,Karnataka,32.52,196.0,53.79,2.33,51.03,50.48,4.23
2021,IR-E-C-33584,K. J. Somaiya College of Engineering,Mumbai,Maharashtra,32.48,197.0,52.22,3.33,58.94,38.08,2.17
2021,IR-E-C-27400,Kakatiya Institute of Technology & Science,Warangal,Telangana,32.48,197.0,55.8,1.64,49.13,49.25,4.9
2021,IR-E-C-11015,Walchand College of Engineering,Sangli,Maharashtra,32.46,199.0,48.25,4.54,56.11,47.93,6.19
2021,IR-E-U-0037,Sri Venkateswara University,Tirupati,Andhra Pradesh,32.42,200.0,41.76,25.59,37.58,43.31,3.56
2022,IR-E-U-0456,Indian Institute of Technology Madras,Chennai,Tamil Nadu,90.04,1.0,94.62,97.66,80.42,62.85,100.0
2022,IR-E-I-1074,"Indian Institute of Technology, Delhi",New Delhi,Delhi,88.12,2.0,86.95,96.0,83.43,68.56,96.92
2022,IR-E-U-0306,"Indian Institute of Technology, Bombay",Mumbai,Maharashtra,83.96,3.0,87.53,90.82,79.18,57.36,88.7
2022,IR-E-I-1075,Indian Institute of Technology Kanpur,Kanpur,Uttar Pradesh,82.56,4.0,87.95,79.98,89.71,59.47,83.01
2022,IR-E-U-0573,"Indian Institute of Technology, Kharagpur",Kharagpur,West Bengal,78.89,5.0,79.21,84.61,80.91,53.09,82.63
2022,IR-E-U-0560,"Indian Institute of Technology, Roorkee",Roorkee,Uttarakhand,76.7,6.0,75.98,78.1,90.12,63.09,61.36
2022,IR-E-U-0053,Indian Institute of Technology Guwahati,Guwahati,Assam,72.98,7.0,75.89,72.89,84.64,56.9,57.15
2022,IR-E-U-0467,"National Institute of Technology, Tiruchirappalli",Tiruchirappalli,Tamil Nadu,69.17,8.0,76.39,58.43,79.16,64.49,64.38
2022,IR-E-U-0013,Indian Institute of Technology Hyderabad,Hyderabad,Telangana,68.03,9.0,80.32,59.89,72.39,54.85,59.96
2022,IR-E-U-0237,"National Institute of Technology Karnataka, Surathkal ",Surathkal,Karnataka,66.04,10.0,72.87,56.42,77.69,63.89,53.24
2022,IR-E-U-0575,Jadavpur University,Kolkata,West Bengal,65.68,11.0,71.38,64.41,78.11,52.33,40.97
2022,IR-E-U-0490,Vellore Institute of Technology,Vellore,Tamil Nadu,65.53,12.0,62.53,73.3,69.44,59.27,49.6
2022,IR-E-U-0701,Indian Institute of Technology (Banaras Hindu University) Varanasi,Varanasi,Uttar Pradesh,63.51,13.0,62.62,57.25,81.72,56.06,55.89
2022,IR-E-U-0205,Indian Institute of Technology (Indian School of Mines),Dhanbad,Jharkhand,63.5,14.0,68.7,65.38,71.17,54.34,36.23
2022,IR-E-U-0357,National Institute of Technology Rourkela,Rourkela,Odisha,62.36,15.0,73.39,59.44,71.8,57.08,24.43
2022,IR-E-U-0273,Indian Institute of Technology Indore,Indore,Madhya Pradesh,61.68,16.0,76.28,56.75,70.39,52.48,24.43
2022,IR-E-U-0439,Anna University,Chennai,Tamil Nadu,61.41,17.0,64.33,64.59,57.8,48.88,62.83
2022,IR-E-U-0308,Institute of Chemical Technology,Mumbai,Maharashtra,61.4,18.0,76.45,56.99,69.53,54.58,19.95
2022,IR-E-U-0436,Amrita Vishwa Vidyapeetham,Coimbatore,Tamil Nadu,60.92,19.0,68.97,58.64,61.39,61.77,41.78
